100 2000
0 1 95.23
1 2 37.06
0 3 95.63
2 4 74.59
1 5 17.85
1 6 29.30
3 7 25.07
2 8 38.48
0 9 74.81
0 10 13.85
0 11 45.29
3 12 52.40
10 13 95.36
3 14 47.26
11 15 83.33
4 16 22.92
3 17 57.86
6 18 5.37
10 19 7.70
11 20 33.41
3 21 98.84
5 22 51.76
18 23 44.79
8 24 87.54
8 25 21.76
3 26 31.43
4 27 53.90
5 28 90.98
22 29 9.05
24 30 10.07
9 31 91.98
27 32 69.95
25 33 89.97
7 34 3.34
21 35 53.27
22 36 21.22
24 37 96.45
12 38 75.03
23 39 61.21
34 40 59.84
18 41 62.96
18 42 48.03
24 43 73.11
13 44 65.12
39 45 76.25
21 46 72.54
0 47 6.19
35 48 18.07
27 49 16.81
15 50 91.83
15 51 55.15
0 52 21.20
7 53 84.04
2 54 91.84
40 55 57.79
28 56 27.22
49 57 41.96
10 58 36.61
33 59 13.25
17 60 95.23
54 61 74.93
57 62 56.73
38 63 10.26
57 64 75.28
46 65 93.21
49 66 94.15
29 67 79.17
22 68 98.96
44 69 10.57
64 70 8.46
13 71 42.49
18 72 87.11
46 73 8.92
50 74 97.53
35 75 24.46
59 76 9.67
47 77 60.52
12 78 78.51
49 79 39.20
54 80 94.85
64 81 20.90
69 82 79.77
49 83 4.34
77 84 62.27
44 85 69.54
74 86 80.27
6 87 4.41
82 88 94.49
23 89 90.10
59 90 32.50
76 91 84.77
25 92 12.96
2 93 6.58
79 94 15.07
28 95 44.26
83 96 76.20
16 97 97.91
16 98 63.22
8 99 34.71
72 35 4.25
28 70 15.28
54 4 9.77
22 41 1.79
22 56 85.56
76 85 30.85
53 76 44.92
84 74 53.84
59 30 51.75
9 42 53.00
41 14 67.16
42 94 61.59
64 1 23.39
78 23 74.30
23 97 39.76
86 73 17.18
20 79 84.07
53 15 95.22
90 74 70.52
67 84 9.05
56 77 71.08
81 19 28.34
75 83 82.23
26 14 46.09
70 37 50.42
23 24 36.39
60 44 9.59
26 49 13.79
67 91 25.20
37 58 98.80
2 67 70.28
34 48 41.91
60 75 27.96
39 54 37.20
93 24 70.43
92 47 14.20
17 8 96.37
73 86 63.85
96 53 68.47
42 91 61.99
23 45 96.41
34 31 39.89
63 91 52.02
28 82 56.19
59 75 26.71
76 68 2.33
68 37 98.23
57 63 1.49
47 11 4.31
28 53 77.23
68 77 30.30
27 11 32.58
86 26 12.42
69 55 51.04
57 66 94.53
70 42 93.32
83 63 82.78
55 72 71.52
14 71 72.31
27 99 10.36
82 20 82.48
83 99 60.94
16 86 85.65
44 7 84.57
2 64 93.91
88 35 84.08
94 70 68.29
90 25 42.92
48 92 70.81
70 19 21.43
46 53 54.77
50 37 68.26
18 5 1.76
12 49 5.31
61 3 35.09
28 92 17.82
90 38 53.81
67 28 42.31
16 29 82.79
88 51 79.58
60 49 9.89
3 0 2.04
94 70 87.59
23 82 79.97
59 95 29.20
12 23 28.83
99 66 72.18
9 33 43.01
44 2 11.87
23 42 50.04
73 2 67.91
76 58 47.94
69 4 50.07
18 80 59.95
17 91 62.17
