5000 10000
0 1 36.87
1 2 19.14
2 3 67.72
0 4 53.96
2 5 26.08
1 6 94.41
2 7 79.27
4 8 83.74
4 9 50.84
1 10 78.84
0 11 25.54
1 12 88.21
1 13 43.14
5 14 66.02
8 15 14.06
5 16 66.72
2 17 98.33
12 18 19.40
0 19 69.19
5 20 75.87
2 21 43.31
14 22 12.51
4 23 2.51
3 24 54.21
20 25 96.12
2 26 21.07
3 27 55.53
1 28 68.85
21 29 4.64
8 30 17.39
1 31 49.83
20 32 66.62
6 33 67.97
30 34 14.21
14 35 57.40
25 36 31.42
33 37 59.35
36 38 22.29
1 39 38.19
0 40 13.21
1 41 8.54
4 42 54.97
11 43 41.56
42 44 60.74
7 45 57.69
25 46 61.89
38 47 60.23
32 48 54.68
42 49 13.53
16 50 64.35
16 51 56.96
0 52 69.64
0 53 37.71
51 54 76.18
44 55 66.42
35 56 9.20
14 57 21.68
12 58 37.02
48 59 85.99
6 60 7.43
23 61 73.88
36 62 50.20
5 63 95.82
53 64 61.30
5 65 71.76
31 66 78.28
19 67 20.43
8 68 44.04
37 69 38.85
22 70 32.04
37 71 8.61
65 72 78.22
48 73 3.41
62 74 90.52
29 75 12.00
72 76 32.08
53 77 65.26
7 78 18.99
49 79 85.16
54 80 69.43
29 81 4.95
0 82 84.64
78 83 94.64
9 84 80.52
64 85 47.90
50 86 37.75
85 87 51.79
38 88 83.80
24 89 30.22
28 90 42.61
33 91 71.28
38 92 26.10
47 93 54.98
67 94 96.62
92 95 23.39
72 96 96.06
19 97 13.76
83 98 50.72
83 99 9.38
83 100 40.88
53 101 42.79
99 102 11.79
35 103 92.60
6 104 47.79
41 105 68.92
61 106 63.04
17 107 63.09
90 108 75.74
96 109 32.23
65 110 57.20
69 111 38.40
34 112 80.95
71 113 33.96
20 114 58.56
66 115 61.90
28 116 97.62
24 117 76.08
117 118 97.28
58 119 4.01
86 120 90.49
84 121 34.46
26 122 12.13
56 123 41.66
53 124 14.61
115 125 59.23
27 126 27.50
54 127 24.07
119 128 47.80
92 129 39.12
51 130 98.37
63 131 4.81
102 132 4.72
42 133 5.40
26 134 48.56
78 135 46.06
83 136 79.35
24 137 91.58
74 138 76.07
104 139 77.35
25 140 6.14
131 141 60.50
93 142 33.21
131 143 40.09
136 144 40.61
126 145 85.37
71 146 78.24
16 147 34.97
80 148 69.05
63 149 82.95
138 150 46.79
9 151 55.66
47 152 8.53
37 153 16.61
80 154 79.49
24 155 73.29
94 156 29.54
73 157 17.26
109 158 17.37
152 159 41.76
94 160 34.57
71 161 94.95
82 162 16.29
119 163 93.76
13 164 68.30
158 165 1.96
98 166 5.72
112 167 40.22
13 168 3.87
123 169 95.86
111 170 48.79
48 171 66.99
0 172 2.94
48 173 39.09
25 174 39.60
136 175 75.28
162 176 6.96
85 177 84.98
52 178 99.15
131 179 6.61
49 180 55.45
56 181 81.53
9 182 63.20
173 183 72.42
7 184 76.58
78 185 48.43
134 186 37.43
2 187 2.71
177 188 97.67
2 189 57.67
86 190 20.64
181 191 10.44
84 192 3.18
34 193 47.86
161 194 73.15
100 195 68.78
155 196 60.04
132 197 87.76
54 198 71.06
136 199 88.32
81 200 28.46
178 201 72.00
98 202 51.17
198 203 4.26
22 204 14.50
156 205 85.10
166 206 92.88
152 207 59.74
121 208 88.96
203 209 96.39
192 210 60.07
148 211 89.71
113 212 15.47
11 213 42.36
141 214 37.66
145 215 33.17
127 216 66.42
198 217 30.02
171 218 77.88
106 219 65.42
189 220 93.20
134 221 25.53
55 222 45.07
157 223 81.14
