100 200
49 28 642.90
70 22 534.74
54 4 899.72
14 22 310.06
41 45 126.38
22 56 413.94
11 76 751.54
85 33 822.22
53 76 361.96
33 84 818.43
74 84 359.61
59 30 802.92
77 9 377.45
42 37 503.48
41 14 854.52
72 42 84.31
64 1 520.41
51 78 514.78
23 92 159.54
23 97 752.24
0 86 875.94
73 37 524.67
20 79 382.20
14 53 348.01
15 88 312.99
90 74 348.81
70 67 369.82
84 65 299.28
56 77 383.11
79 81 653.34
19 26 401.89
75 83 811.46
27 26 261.05
14 2 469.19
70 37 594.86
99 23 237.74
24 25 310.46
60 44 962.92
56 26 650.86
49 71 614.58
67 91 283.82
45 37 114.21
58 29 624.80
2 67 600.19
58 34 234.52
48 29 611.93
60 75 888.26
65 39 558.97
54 79 280.22
93 24 975.06
16 92 676.42
47 92 757.05
17 8 456.67
36 73 387.85
86 38 520.13
96 53 335.93
29 42 682.83
91 40 211.97
23 45 364.90
7 34 131.37
31 7 496.79
63 91 67.42
82 28 851.66
82 36 268.37
59 75 1134.34
13 76 539.81
68 12 157.10
68 37 593.88
20 57 822.71
63 59 924.56
47 11 692.47
12 28 696.30
53 3 311.52
68 77 557.09
1 27 498.12
11 32 774.09
86 26 237.12
76 69 997.73
55 58 347.67
57 66 229.00
34 70 536.41
42 54 509.97
83 63 688.28
43 55 603.93
72 58 45.54
14 71 648.92
70 27 649.71
99 75 600.24
82 20 766.32
52 83 246.45
99 15 229.92
16 86 567.10
42 44 688.00
7 49 335.89
2 64 394.22
15 88 312.99
35 10 263.40
94 70 446.79
25 90 369.44
25 49 342.34
48 92 856.27
20 70 841.69
19 71 729.17
46 53 786.19
91 50 358.81
37 91 369.76
18 5 313.23
29 12 361.39
49 36 504.02
61 3 799.64
0 28 943.72
92 87 197.96
90 38 689.03
57 67 857.83
28 35 385.47
16 29 700.79
27 88 116.47
51 98 394.24
60 49 734.94
0 92 969.95
94 70 446.79
97 23 752.24
82 98 534.99
59 95 777.34
54 12 131.61
23 98 624.26
99 66 278.77
36 9 477.18
33 17 451.89
44 2 454.44
98 23 624.26
42 49 320.02
73 2 329.96
99 76 495.59
58 51 133.27
69 4 673.50
21 18 483.97
80 3 796.91
17 91 822.68
98 23 624.26
3 73 659.87
21 3 600.75
91 9 192.34
12 77 578.62
26 8 444.92
79 24 502.84
31 73 741.59
26 4 354.45
28 25 371.00
80 86 528.27
28 1 296.86
90 49 579.52
20 70 841.69
4 89 1036.30
62 54 524.12
12 17 754.88
27 33 377.66
72 19 357.21
42 36 355.29
96 21 619.11
44 27 688.24
45 27 559.09
0 23 813.42
83 28 953.47
48 16 233.85
14 28 482.25
17 57 380.70
29 37 601.28
79 33 506.81
26 41 789.46
87 38 455.99
11 15 177.53
23 83 824.43
86 66 240.47
20 34 314.80
39 16 609.74
61 36 410.97
44 13 664.97
60 27 392.47
42 60 438.79
43 8 355.02
89 61 214.84
17 18 965.99
50 97 574.38
52 77 610.66
90 91 241.01
67 1 843.50
58 91 567.49
85 44 518.22
9 57 593.67
30 48 551.26
73 91 643.49
84 17 834.04
57 44 868.96
97 99 673.88
5 40 28.60
59 46 574.38
53 29 551.53
