100 150
0 1 57.15
0 2 99.86
1 3 57.79
3 4 86.64
3 5 75.70
5 6 31.29
4 7 47.59
6 8 88.77
6 9 37.20
4 10 79.02
10 11 78.60
4 12 18.83
1 13 86.23
0 14 39.51
9 15 49.41
1 16 5.36
3 17 37.19
12 18 41.23
13 19 31.81
11 20 64.78
9 21 92.77
0 22 13.96
17 23 2.31
14 24 92.72
15 25 78.89
23 26 93.90
19 27 5.37
5 28 44.55
5 29 20.94
1 30 6.99
30 31 74.23
31 32 74.92
24 33 15.58
12 34 5.39
2 35 43.01
17 36 52.90
34 37 64.25
0 38 75.14
11 39 67.60
25 40 4.07
33 41 39.60
31 42 3.99
38 43 9.70
35 44 34.57
42 45 30.60
39 46 98.00
43 47 50.91
31 48 15.25
36 49 88.06
32 50 11.88
23 51 87.82
11 52 65.86
35 53 29.65
27 54 17.63
27 55 8.86
46 56 42.75
54 57 17.67
5 58 90.43
54 59 92.28
52 60 55.00
27 61 64.55
10 62 26.72
20 63 25.91
56 64 79.96
13 65 59.62
39 66 44.06
29 67 54.62
3 68 98.51
1 69 49.91
52 70 79.52
46 71 35.83
1 72 5.23
66 73 67.00
36 74 77.86
64 75 19.65
36 76 81.15
50 77 84.86
17 78 97.68
73 79 47.84
53 80 23.75
62 81 68.48
8 82 53.89
42 83 75.72
45 84 6.36
20 85 67.53
33 86 82.40
77 87 7.14
15 88 54.86
0 89 81.30
84 90 32.42
16 91 64.59
1 92 83.16
40 93 20.44
83 94 59.22
94 95 58.47
79 96 73.73
81 97 48.78
31 98 49.04
80 99 79.02
21 62 46.55
87 53 48.91
58 44 3.77
13 9 35.50
8 84 99.09
1 92 48.54
27 24 7.76
64 1 88.73
17 56 37.51
46 50 61.00
60 24 10.13
20 11 40.67
19 21 57.83
95 34 56.30
64 42 54.71
68 95 36.28
44 75 97.69
89 39 18.57
97 8 64.39
10 55 59.26
85 15 8.53
27 87 95.09
70 7 28.08
9 54 77.64
57 18 77.20
94 38 39.32
23 82 82.43
28 71 74.83
34 68 89.23
48 78 53.26
13 16 44.95
54 95 10.82
58 66 97.81
35 75 11.67
95 85 83.91
1 79 16.62
54 2 55.33
31 82 8.80
50 68 63.77
78 16 58.73
13 82 53.68
64 88 57.77
54 99 11.65
3 34 71.17
6 81 93.61
79 34 33.69
91 89 25.68
38 72 67.29
56 22 77.08
94 53 19.43
11 66 51.60
