Vertices,Tipo,Kruskal_Medio(ms),Kruskal_DP(ms),Prim_Medio(ms),Prim_DP(ms)
100,Esparso,0.041,0.013,0.023,0.009
100,Denso,0.088,0.047,0.049,0.006
100,Geo,0.015,0.004,0.019,0.003
500,Esparso,0.082,0.028,0.149,0.009
500,Denso,2.841,1.579,2.715,1.483
500,Geo,0.081,0.025,0.146,0.005
1000,Esparso,0.170,0.051,0.352,0.036
1000,Denso,12.164,7.005,36.268,1.693
1000,Geo,0.167,0.052,0.330,0.007
5000,Esparso,0.968,0.347,2.297,0.310
5000,Denso,399.234,206.402,1149.864,16.641
5000,Geo,0.926,0.350,2.450,0.356
10000,Esparso,2.011,0.708,6.118,0.708
10000,Denso,410.417,202.891,1182.756,30.122
10000,Geo,1.936,0.725,6.796,0.604
